,,,,,,,,
,,,,,,,,
,,,,,,,,
,numero,nome,voto,voto add,partido,uf,proposicao,data
,17,Davi Alcolumbre,NCom,,DEM,AP,pec 10 de 2013 1t,26.abr.2017
,18,Edison Lobão,Sim,,PMDB,MA,pec 10 de 2013 1t,26.abr.2017
,19,Eduardo Amorim,Sim,,PSDB,SE,pec 10 de 2013 1t,26.abr.2017
,20,Eduardo Braga,Sim,,PMDB,AM,pec 10 de 2013 1t,26.abr.2017
,21,Eduardo Lopes,Sim,,PRB,RJ,pec 10 de 2013 1t,26.abr.2017
,22,Elmano Férrer,Sim,,PMDB,PI,pec 10 de 2013 1t,26.abr.2017
,23,Eunício Oliveira,NCom,,PMDB,CE,pec 10 de 2013 1t,26.abr.2017
,24,Fátima Bezerra,NCom,,PT ,RN,pec 10 de 2013 1t,26.abr.2017
,25,Fernando Bezerra Coelho,Sim,,PSB,PE,pec 10 de 2013 1t,26.abr.2017
,26,Fernando Collor,Sim,,PTC,AL,pec 10 de 2013 1t,26.abr.2017
,27,Flexa Ribeiro,Sim,,PSDB,PA,pec 10 de 2013 1t,26.abr.2017
,28,Garibaldi Alves Filho,Sim,,PMDB,RN,pec 10 de 2013 1t,26.abr.2017
,29,Gladson Cameli,Sim,,PP,AC,pec 10 de 2013 1t,26.abr.2017
,30,Gleisi Hoffmann,Sim,,PT,PR,pec 10 de 2013 1t,26.abr.2017
,31,Hélio José,Sim,,PMDB,DF,pec 10 de 2013 1t,26.abr.2017
,32,Humberto Costa,Sim,,PT,PE,pec 10 de 2013 1t,26.abr.2017
,33,Ivo Cassol,Sim,,PP,RO,pec 10 de 2013 1t,26.abr.2017
,34,Jader Barbalho,Sim,,PMDB,PA,pec 10 de 2013 1t,26.abr.2017
,35,João Alberto Souza,Sim,,PMDB,MA,pec 10 de 2013 1t,26.abr.2017
,36,João Capiberibe,Sim,,PSB,AP,pec 10 de 2013 1t,26.abr.2017
,37,Jorge Viana,Sim,,PT,AC,pec 10 de 2013 1t,26.abr.2017
,38,José Agripino,Sim,,DEM,RN,pec 10 de 2013 1t,26.abr.2017
,39,José Maranhão,Sim,,PMDB,PB,pec 10 de 2013 1t,26.abr.2017
,40,José Medeiros,Sim,,PSD ,MT,pec 10 de 2013 1t,26.abr.2017
,41,José Pimentel,Sim,,PT,CE,pec 10 de 2013 1t,26.abr.2017
,42,José Serra,Sim,,PSDB,SP,pec 10 de 2013 1t,26.abr.2017
,43,Kátia Abreu,AP,,PMDB,TO,pec 10 de 2013 1t,26.abr.2017
,44,Lasier Martins,Sim,,PSD,RS,pec 10 de 2013 1t,26.abr.2017
,45,Lídice da Mata,Sim,,PSB,BA,pec 10 de 2013 1t,26.abr.2017
,46,Lindbergh Farias,Sim,,PT,RJ,pec 10 de 2013 1t,26.abr.2017
,47,Lúcia Vânia,Sim,,PSB,GO,pec 10 de 2013 1t,26.abr.2017
,48,Magno Malta,Sim,,PR,ES,pec 10 de 2013 1t,26.abr.2017
,49,Maria do Carmo Alves,P,NRV,DEM,SE,pec 10 de 2013 1t,26.abr.2017
,50,Marta Suplicy,Sim,,PMDB,SP,pec 10 de 2013 1t,26.abr.2017
,51,Omar Aziz,Sim,,PSD,AM,pec 10 de 2013 1t,26.abr.2017
,52,Otto Alencar,Sim,,PSD,BA,pec 10 de 2013 1t,26.abr.2017
,53,Paulo Bauer,Sim,,PSDB,SC,pec 10 de 2013 1t,26.abr.2017
,54,Paulo Paim,Sim,,PT,RS,pec 10 de 2013 1t,26.abr.2017
,55,Paulo Rocha,Sim,,PT,PA,pec 10 de 2013 1t,26.abr.2017
,56,Pedro Chaves,Sim,,PSC,MS,pec 10 de 2013 1t,26.abr.2017
,57,Raimundo Lira,Sim,,PMDB,PB,pec 10 de 2013 1t,26.abr.2017
,58,Randolfe Rodrigues,Sim,,REDE,AP,pec 10 de 2013 1t,26.abr.2017
,59,Regina Sousa,Sim,,PT,PI,pec 10 de 2013 1t,26.abr.2017
,60,Reguffe,Sim,,S/SIGLA,DF,pec 10 de 2013 1t,26.abr.2017
,61,Renan Calheiros,Sim,,PMDB,AL,pec 10 de 2013 1t,26.abr.2017
,62,Ricardo Ferraço,Sim,,PSDB,ES,pec 10 de 2013 1t,26.abr.2017
,63,Roberto Muniz,Sim,,PP,BA,pec 10 de 2013 1t,26.abr.2017
,64,Roberto Requião,P,NRV,PMDB,PR,pec 10 de 2013 1t,26.abr.2017
,65,Roberto Rocha,Sim,,PSB,MA,pec 10 de 2013 1t,26.abr.2017
